"Bus","No","Time (abs)","State","ID (hex)","Length","Message","Data (hex)","ASCII"
"CAN","1","46582.783.624.0","   S ","602","2","","01 06",".."
"CAN","2","46582.784.376.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","3","46582.785.006.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","4","46582.785.636.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","5","46582.786.272.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","6","46585.575.834.0","   S ","602","2","","01 07",".."
"CAN","7","46585.576.592.0","     ","682","7","","01 80 00 80 00 80 00",".€.€.€."
"CAN","8","46585.577.222.0","     ","682","7","","21 80 00 80 00 80 00","!€.€.€."
"CAN","9","46585.577.853.0","     ","682","7","","61 80 00 80 00 80 00","a€.€.€."
"CAN","10","46585.578.489.0","     ","682","7","","41 80 00 80 00 80 00","A€.€.€."
"CAN","11","46628.207.361.0","   S ","602","4","","03 00 00 00","...."
"CAN","12","46628.207.997.0","     ","682","3","","03 00 00","..."
"CAN","13","46631.350.857.0","   S ","602","2","","01 04",".."
"CAN","14","46631.351.608.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","15","46631.352.239.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","16","46631.352.869.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","17","46631.353.505.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","18","46656.022.452.0","   S ","602","2","","01 05",".."
"CAN","19","46656.023.182.0","     ","682","7","","01 00 BF 00 B9 00 BB","..¿.¹.»"
"CAN","20","46656.023.781.0","     ","682","7","","21 00 BA 00 BA 00 B9","!.º.º.¹"
"CAN","21","46656.024.409.0","     ","682","7","","41 00 B9 00 01 00 01","A.¹...."
"CAN","22","46656.025.034.0","     ","682","7","","61 00 01 00 01 E6 E1","a....æá"
"CAN","23","46746.549.160.0","   S ","602","4","","03 00 03 FF","...ÿ"
"CAN","24","46746.620.939.0","     ","682","3","","03 00 00","..."
"CAN","25","46752.781.269.0","   S ","602","2","","01 04",".."
"CAN","26","46752.782.021.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","27","46752.782.651.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","28","46752.783.276.0","     ","682","7","","61 00 00 00 00 03 E3","a.....ã"
"CAN","29","46752.783.912.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","30","46762.236.704.0","   S ","602","2","","01 05",".."
"CAN","31","46762.237.426.0","     ","682","7","","01 00 C0 00 BB 00 BB","..À.».»"
"CAN","32","46762.238.023.0","     ","682","7","","21 00 B9 00 BA 00 B9","!.¹.º.¹"
"CAN","33","46762.238.648.0","     ","682","7","","41 00 B8 00 01 00 00","A.¸...."
"CAN","34","46762.241.762.0","     ","682","7","","61 00 01 00 01 EA CB","a....êË"
"CAN","35","46813.364.103.0","   S ","602","4","","07 00 00 00","...."
"CAN","36","46813.364.522.0","     ","682","1","","07","."
"CAN","37","46816.236.062.0","   S ","602","4","","07 01 00 00","...."
"CAN","38","46816.239.518.0","     ","682","1","","07","."
