"Bus","No","Time (abs)","State","ID (hex)","Length","Message","Data (hex)","ASCII"
"CAN","1","17.434.610.0","   S ","602","2","","1E 02",".."
"CAN","2","17.435.162.0","     ","682","3","","1E 00 00","..."
"CAN","3","27.146.166.0","   S ","602","2","","01 03",".."
"CAN","4","27.146.918.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","5","27.147.548.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","6","27.148.179.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","7","27.148.814.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","8","29.866.145.0","   S ","602","2","","01 04",".."
"CAN","9","29.866.897.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","10","29.867.527.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","11","29.868.163.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","12","29.868.793.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","13","32.186.098.0","   S ","602","2","","01 05",".."
"CAN","14","32.186.822.0","     ","682","7","","01 00 C3 00 BA 00 BB","..√.∫.ª"
"CAN","15","32.187.424.0","     ","682","7","","21 00 BA 00 BB 00 B8","!.∫.ª.∏"
"CAN","16","32.188.049.0","     ","682","7","","41 00 B9 00 01 00 00","A.π...."
"CAN","17","32.188.680.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","18","43.698.349.0","   S ","602","3","","06 00 00","..."
"CAN","19","43.698.796.0","     ","682","2","","06 00",".."
"CAN","20","52.833.829.0","   S ","602","4","","03 00 00 00","...."
"CAN","21","52.834.465.0","     ","682","3","","03 00 00","..."
"CAN","22","56.689.795.0","   S ","602","3","","06 00 00","..."
"CAN","23","56.690.242.0","     ","682","2","","06 00",".."
"CAN","24","58.529.905.0","   S ","602","4","","03 01 00 00","...."
"CAN","25","58.530.568.0","     ","682","3","","03 00 00","..."
"CAN","26","60.441.742.0","   S ","602","3","","06 00 00","..."
"CAN","27","60.442.521.0","     ","682","2","","06 00",".."
"CAN","28","62.001.838.0","   S ","602","4","","03 02 80 00","..Ä."
"CAN","29","62.002.495.0","     ","682","3","","03 00 00","..."
"CAN","30","75.993.428.0","   S ","602","2","","01 06",".."
"CAN","31","75.994.180.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","32","75.994.811.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","33","75.995.441.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","34","75.996.077.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","35","78.449.628.0","   S ","602","2","","01 07",".."
"CAN","36","78.450.385.0","     ","682","7","","01 80 00 80 00 80 00",".Ä.Ä.Ä."
"CAN","37","78.451.015.0","     ","682","7","","21 80 00 80 00 80 00","!Ä.Ä.Ä."
"CAN","38","78.451.646.0","     ","682","7","","61 80 00 80 00 80 00","aÄ.Ä.Ä."
"CAN","39","78.452.281.0","     ","682","7","","41 80 00 80 00 80 00","AÄ.Ä.Ä."
"CAN","40","83.753.319.0","   S ","602","2","","01 05",".."
"CAN","41","83.754.038.0","     ","682","7","","01 00 C6 00 BA 00 BC","..∆.∫.º"
"CAN","42","83.754.642.0","     ","682","7","","21 00 BA 00 BB 00 B8","!.∫.ª.∏"
"CAN","43","83.755.266.0","     ","682","7","","41 00 B9 00 01 00 00","A.π...."
"CAN","44","83.755.896.0","     ","682","7","","61 00 00 00 01 00 01","a......"
"CAN","45","209.663.657.0","   S ","602","4","","07 00 00 20","... "
"CAN","46","209.664.076.0","     ","682","1","","07","."
"CAN","47","243.727.029.0","   S ","602","2","","01 05",".."
"CAN","48","243.727.764.0","     ","682","7","","01 00 B8 00 BC 00 BB","..∏.º.ª"
"CAN","49","243.728.366.0","     ","682","7","","21 00 BC 00 BB E6 B8","!.º.ªÊ∏"
"CAN","50","243.728.991.0","     ","682","7","","41 00 BA 00 01 00 00","A.∫...."
"CAN","51","243.729.622.0","     ","682","7","","61 00 01 00 00 00 01","a......"
"CAN","52","281.966.475.0","   S ","602","4","","07 00 00 80","...Ä"
"CAN","53","281.966.895.0","     ","682","1","","07","."
"CAN","54","287.030.630.0","   S ","602","2","","01 05",".."
"CAN","55","287.031.359.0","     ","682","7","","01 00 B4 00 BA 00 BB","..¥.∫.ª"
"CAN","56","287.031.956.0","     ","682","7","","21 00 BB 00 BB 03 A4","!.ª.ª.§"
"CAN","57","287.032.575.0","     ","682","7","","41 00 B9 E6 B4 00 00","A.πÊ¥.."
"CAN","58","287.033.206.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","59","355.117.513.0","   S ","602","5","","04 00 0F FF 07","...ˇ."
"CAN","60","355.123.989.0","     ","682","3","","04 00 00","..."
"CAN","61","361.200.059.0","     ","682","3","","1E 00 80","..Ä"
"CAN","62","361.400.053.0","     ","682","3","","1E 00 80","..Ä"
"CAN","63","361.485.260.0","   S ","602","2","","01 05",".."
"CAN","64","361.485.984.0","     ","682","7","","01 00 8F 00 BB 00 BC","..è.ª.º"
"CAN","65","361.486.581.0","     ","682","7","","21 00 BA 00 BA 00 B9","!.∫.∫.π"
"CAN","66","361.487.195.0","     ","682","7","","41 00 B9 F6 C7 00 00","A.πˆ«.."
"CAN","67","361.487.825.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","68","361.700.049.0","     ","682","3","","1E 00 80","..Ä"
"CAN","69","362.300.033.0","     ","682","3","","1E 00 80","..Ä"
"CAN","70","362.800.019.0","     ","682","3","","1E 00 80","..Ä"
"CAN","71","363.400.003.0","     ","682","3","","1E 00 80","..Ä"
"CAN","72","363.699.995.0","     ","682","3","","1E 00 80","..Ä"
"CAN","73","363.899.989.0","     ","682","3","","1E 00 80","..Ä"
"CAN","74","364.399.976.0","     ","682","3","","1E 00 80","..Ä"
"CAN","75","365.099.958.0","     ","682","3","","1E 00 80","..Ä"
"CAN","76","365.899.936.0","     ","682","3","","1E 00 80","..Ä"
"CAN","77","366.499.926.0","     ","682","3","","1E 00 80","..Ä"
"CAN","78","367.699.894.0","     ","682","3","","1E 00 80","..Ä"
"CAN","79","367.899.889.0","     ","682","3","","1E 00 80","..Ä"
"CAN","80","368.299.878.0","     ","682","3","","1E 00 80","..Ä"
"CAN","81","368.499.873.0","     ","682","3","","1E 00 80","..Ä"
"CAN","82","368.699.867.0","     ","682","3","","1E 00 80","..Ä"
"CAN","83","369.299.851.0","     ","682","3","","1E 00 80","..Ä"
"CAN","84","369.799.838.0","     ","682","3","","1E 00 80","..Ä"
"CAN","85","447.497.812.0","     ","682","3","","1E 00 80","..Ä"
"CAN","86","447.797.803.0","     ","682","3","","1E 00 80","..Ä"
"CAN","87","448.297.790.0","     ","682","3","","1E 00 80","..Ä"
"CAN","88","448.697.785.0","     ","682","3","","1E 00 80","..Ä"
"CAN","89","449.068.139.0","   S ","602","5","","04 00 0F FF 03","...ˇ."
"CAN","90","449.074.615.0","     ","682","3","","04 00 00","..."
"CAN","91","449.297.767.0","     ","682","3","","1E 00 80","..Ä"
"CAN","92","449.497.761.0","     ","682","3","","1E 00 80","..Ä"
"CAN","93","449.997.748.0","     ","682","3","","1E 00 80","..Ä"
"CAN","94","450.397.737.0","     ","682","3","","1E 00 80","..Ä"
"CAN","95","450.697.729.0","     ","682","3","","1E 00 80","..Ä"
"CAN","96","451.097.718.0","     ","682","3","","1E 00 80","..Ä"
"CAN","97","451.397.710.0","     ","682","3","","1E 00 80","..Ä"
"CAN","98","452.297.686.0","     ","682","3","","1E 00 80","..Ä"
"CAN","99","452.797.673.0","     ","682","3","","1E 00 80","..Ä"
"CAN","100","453.197.662.0","     ","682","3","","1E 00 80","..Ä"
"CAN","101","453.497.659.0","     ","682","3","","1E 00 80","..Ä"
"CAN","102","453.697.654.0","     ","682","3","","1E 00 80","..Ä"
"CAN","103","454.097.643.0","     ","682","3","","1E 00 80","..Ä"
"CAN","104","454.297.637.0","     ","682","3","","1E 00 80","..Ä"
"CAN","105","454.597.629.0","     ","682","3","","1E 00 80","..Ä"
"CAN","106","455.197.613.0","     ","682","3","","1E 00 80","..Ä"
"CAN","107","455.997.592.0","     ","682","3","","1E 00 80","..Ä"
"CAN","108","456.497.579.0","     ","682","3","","1E 00 80","..Ä"
"CAN","109","473.297.142.0","     ","682","3","","1E 00 80","..Ä"
"CAN","110","473.684.001.0","   S ","602","5","","04 00 00 00 07","....."
"CAN","111","473.690.466.0","     ","682","3","","04 00 00","..."
