"Bus","No","Time (abs)","State","ID (hex)","Length","Message","Data (hex)","ASCII"
"CAN","1","2422.278.193.0","   S ","602","2","","1E 01",".."
"CAN","2","2422.278.684.0","     ","682","3","","1E 00 10","..."
"CAN","3","2430.990.272.0","   S ","602","3","","06 00 00","..."
"CAN","4","2430.990.720.0","     ","682","2","","06 00",".."
"CAN","5","2436.302.147.0","   S ","602","4","","03 00 00 00","...."
"CAN","6","2436.302.783.0","     ","682","3","","03 00 00","..."
"CAN","7","2438.294.025.0","   S ","602","3","","06 00 00","..."
"CAN","8","2438.294.473.0","     ","682","2","","06 00",".."
"CAN","9","2445.038.078.0","   S ","602","4","","03 01 00 00","...."
"CAN","10","2445.039.499.0","     ","682","3","","03 00 00","..."
"CAN","11","2449.397.832.0","   S ","602","3","","06 00 00","..."
"CAN","12","2449.398.279.0","     ","682","2","","06 00",".."
"CAN","13","2453.854.023.0","   S ","602","4","","03 02 80 00","..€."
"CAN","14","2453.854.680.0","     ","682","3","","03 00 00","..."
"CAN","15","2471.717.537.0","   S ","602","2","","01 06",".."
"CAN","16","2471.718.288.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","17","2471.718.918.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","18","2471.719.549.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","19","2471.720.185.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","20","2473.761.681.0","   S ","602","2","","01 07",".."
"CAN","21","2473.762.438.0","     ","682","7","","01 80 00 80 00 80 00",".€.€.€."
"CAN","22","2473.763.068.0","     ","682","7","","21 80 00 80 00 80 00","!€.€.€."
"CAN","23","2473.763.699.0","     ","682","7","","61 80 00 80 00 80 00","a€.€.€."
"CAN","24","2473.764.334.0","     ","682","7","","41 80 00 80 00 80 00","A€.€.€."
"CAN","25","2481.469.626.0","   S ","602","2","","01 08",".."
"CAN","26","2481.470.366.0","     ","682","7","","01 0F FF 00 00 00 00","..ÿ...."
"CAN","27","2498.517.221.0","   S ","602","4","","07 00 00 00","...."
"CAN","28","2498.517.640.0","     ","682","1","","07","."
"CAN","29","2502.924.956.0","   S ","602","2","","01 08",".."
"CAN","30","2502.925.696.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","31","2507.524.841.0","   S ","602","2","","01 09",".."
"CAN","32","2507.525.570.0","     ","682","7","","01 00 00 A5 F6 00 00","...¥ö.."
"CAN","33","2507.526.173.0","     ","682","7","","21 0F FF 02 00 E6 CB","!.ÿ..æË"
"CAN","34","2565.476.085.0","   S ","602","3","","06 00 01","..."
"CAN","35","2565.476.529.0","     ","682","2","","06 00",".."
"CAN","36","2577.180.095.0","   S ","602","6","","02 02 0F FF 08 00","...ÿ.."
"CAN","37","2577.186.560.0","     ","682","2","","02 00",".."
"CAN","38","2597.043.552.0","   S ","602","2","","01 09",".."
"CAN","39","2597.044.281.0","     ","682","7","","01 00 00 A5 F6 00 00","...¥ö.."
"CAN","40","2597.044.884.0","     ","682","7","","21 0F FF 08 00 E6 CB","!.ÿ..æË"
"CAN","41","2819.408.394.0","   S ","602","2","","01 06",".."
"CAN","42","2819.409.145.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","43","2819.409.776.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","44","2819.410.406.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","45","2819.411.042.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","46","2822.016.068.0","   S ","602","2","","01 07",".."
"CAN","47","2822.016.825.0","     ","682","7","","01 80 00 80 00 80 00",".€.€.€."
"CAN","48","2822.017.455.0","     ","682","7","","21 80 00 80 00 80 00","!€.€.€."
"CAN","49","2822.018.086.0","     ","682","7","","61 80 00 80 00 80 00","a€.€.€."
"CAN","50","2822.018.721.0","     ","682","7","","41 80 00 80 00 80 00","A€.€.€."
"CAN","51","2959.898.392.0","   S ","602","4","","07 00 0F FF","...ÿ"
"CAN","52","2959.898.812.0","     ","682","1","","07","."
"CAN","53","3039.092.658.0","   S ","602","2","","01 05",".."
"CAN","54","3039.093.371.0","     ","682","7","","01 E6 AF E6 B9 E6 B5",".æ¯æ¹æµ"
"CAN","55","3039.093.957.0","     ","682","7","","21 E6 AE E6 C3 E6 BA","!æ®æÃæº"
"CAN","56","3039.094.565.0","     ","682","7","","41 E6 AF E6 B7 E6 F2","Aæ¯æ·æò"
"CAN","57","3039.095.162.0","     ","682","7","","61 E6 CF E6 DB E6 E0","aæÏæÛæà"
"CAN","58","3541.340.896.0","   S ","602","5","","04 00 0F FF 00","...ÿ."
"CAN","59","3541.347.372.0","     ","682","3","","04 00 00","..."
